Nom,Isin,Symbole,Marche,Mic
BIOCORP,FR0012788065,ALCOR,Alternext_Paris,ALXP
BIOPHYTIS,FR0012816825,ALBPS,Alternext_Paris,ALXP
BIOSYNEX,FR0011005933,ALBIO,Alternext_Paris,ALXP
BLUELINEA,FR0011041011,ALBLU,Alternext_Paris,ALXP
BRICORAMA,FR0000054421,ALBRI,Alternext_Paris,ALXP
BUDGET_TELECOM,FR0004172450,ALBUD,Alternext_Paris,ALXP
CARBIOS,FR0011648716,ALCRB,Alternext_Paris,ALXP
CARMAT,FR0010907956,ALCAR,Alternext_Paris,ALXP
CELLECTIS,FR0010425595,ALCLS,Alternext_Paris,ALXP
CERINNOV_GROUP,FR0013178712,ALPCV,Alternext_Paris,ALXP
CESAR,FR0010540997,ALCES,Alternext_Paris,ALXP
CLASQUIN,FR0004152882,ALCLA,Alternext_Paris,ALXP
COFIDUR,FR0000054629,ALCOF,Alternext_Paris,ALXP
COGRA,FR0011071570,ALCOG,Alternext_Paris,ALXP
COGRA_48_BSAR,FR0013220530,COGBS,Alternext_Paris,ALXP
COIL,BE0160342011,ALCOI,Alternext_Paris,ALXP
CONCOURSMANIA,FR0011038348,ALGCM,Alternext_Paris,ALXP
CROSSJECT,FR0011716265,ALCJ,Alternext_Paris,ALXP
CUSTOM_SOLUTION_NV,FR0013249604,SOLVN,Alternext_Paris,ALXP
CUSTOM_SOLUTIONS,FR0010889386,ALSOL,Alternext_Paris,ALXP
CYBERGUN,FR0013204351,ALCYB,Alternext_Paris,ALXP
CYBERGUN_BSB,FR0012994200,CYBSB,Alternext_Paris,ALXP
D.L.S.I.,FR0010404368,ALDLS,Alternext_Paris,ALXP
DAMARTEX,FR0000185423,ALDAR,Alternext_Paris,ALXP
DBT,FR0013066750,ALDBT,Alternext_Paris,ALXP
DEINOVE,FR0010879056,ALDEI,Alternext_Paris,ALXP
DELFINGEN,FR0000054132,ALDEL,Alternext_Paris,ALXP
DELTA_DRONE,FR0011522168,ALDR,Alternext_Paris,ALXP
DEMOS,FR0010474130,ALDMO,Alternext_Paris,ALXP
DEVERNOIS,FR0000060840,ALDEV,Alternext_Paris,ALXP
DIAXONHIT,FR0004054427,ALEHT,Alternext_Paris,ALXP
DIETSWELL,FR0010377127,ALDIE,Alternext_Paris,ALXP
DL_SOFTWARE,FR0010357079,ALSDL,Alternext_Paris,ALXP
DOLPHIN_INTEGRAT.,FR0004022754,ALDOL,Alternext_Paris,ALXP
DRONE_VOLT,FR0013088606,ALDRV,Alternext_Paris,ALXP
DRONE_VOLT_BS,FR0012860542,DRVBS,Alternext_Paris,ALXP
EASYVISTA,FR0010246322,ALEZV,Alternext_Paris,ALXP
ECOSLOPS,FR0011490648,ALESA,Alternext_Paris,ALXP
EMOVA_BS,FR0013245123,ALEBS,Alternext_Paris,ALXP
EMOVA_GROUP,FR0010554113,ALEMV,Alternext_Paris,ALXP
ENERTIME,FR0011915339,ALENE,Alternext_Paris,ALXP
ENTREPARTICULIERS,FR0010424697,ALENT,Alternext_Paris,ALXP
ENTREPRENDRE,FR0000045122,ALENR,Alternext_Paris,ALXP
ENVIRONNEMENT_SA,FR0010278762,ALTEV,Alternext_Paris,ALXP
EO2,FR0010465534,ALEO2,Alternext_Paris,ALXP
ESKER,FR0000035818,ALESK,Alternext_Paris,ALXP
EURASIA_GROUPE,FR0010844001,ALEUA,Alternext_Paris,ALXP
EUROFINS_CEREP,FR0012413771,ALECR,Alternext_Paris,ALXP
EUROGERM,FR0010452474,ALGEM,Alternext_Paris,ALXP
EUROPLASMA,FR0000044810,ALEUP,Alternext_Paris,ALXP
EUROPLASMA_BSA,FR0012160653,EURBS,Alternext_Paris,ALXP
EUROPLASMA_BSB,FR0012160661,EURBT,Alternext_Paris,ALXP
EVOLIS,FR0004166197,ALTVO,Alternext_Paris,ALXP
FASHION_B_AIR,FR0004034593,ALFBA,Alternext_Paris,ALXP
FILAE,FR0010221069,ALFIL,Alternext_Paris,ALXP
FOCUS_HOME_INT,FR0012419307,ALFOC,Alternext_Paris,ALXP
FOUNTAINE_PAJOT,FR0010485268,ALFPC,Alternext_Paris,ALXP
FREELANCE_BS_2018,FR0013229291,FREBS,Alternext_Paris,ALXP
FREELANCE.COM,FR0004187367,ALFRE,Alternext_Paris,ALXP
GASCOGNE,FR0000124414,ALBI,Alternext_Paris,ALXP
GAUSSIN,FR0010342329,ALGAU,Alternext_Paris,ALXP
GAUSSIN_BSA,FR0013186061,GAUBT,Alternext_Paris,ALXP
GAUSSIN_BSAR,FR0011462803,GAUBS,Alternext_Paris,ALXP
GENOWAY,FR0004053510,ALGEN,Alternext_Paris,ALXP
GEVELOT,FR0000033888,ALGEV,Alternext_Paris,ALXP
GLOBAL_BIOENERGIES,FR0011052257,ALGBE,Alternext_Paris,ALXP
