Nom,Isin,Symbole,Marche,Mic,Nom
DRONE_VOLT,FR0013088606,ALDRV,Alternext_Paris,ALXP,UNION_FIN.FRANCE
DRONE_VOLT_BS,FR0012860542,DRVBS,Alternext_Paris,ALXP,MONTEA_C.V.A.
EASYVISTA,FR0010246322,ALEZV,Alternext_Paris,ALXP,AVANTIUM
ECOSLOPS,FR0011490648,ALESA,Alternext_Paris,ALXP,STERN_GROEP
EMOVA_BS,FR0013245123,ALEBS,Alternext_Paris,ALXP,IMPRESA
EMOVA_GROUP,FR0010554113,ALEMV,Alternext_Paris,ALXP,EOS_IMAGING
ENERTIME,FR0011915339,ALENE,Alternext_Paris,ALXP,AJAX
ENTREPARTICULIERS,FR0010424697,ALENT,Alternext_Paris,ALXP,ID_LOGISTICS_GROUP
ENTREPRENDRE,FR0000045122,ALENR,Alternext_Paris,ALXP,ZETES_INDUSTRIES
ENVIRONNEMENT_SA,FR0010278762,ALTEV,Alternext_Paris,ALXP,MAUNA_KEA_TECH
EO2,FR0010465534,ALEO2,Alternext_Paris,ALXP,MEDICREA_INTERNAT.
ESKER,FR0000035818,ALESK,Alternext_Paris,ALXP,TOTAL_GABON
EURASIA_GROUPE,FR0010844001,ALEUA,Alternext_Paris,ALXP,VISIATIV
EUROFINS_CEREP,FR0012413771,ALECR,Alternext_Paris,ALXP,MANITOU_BF
EUROGERM,FR0010452474,ALGEM,Alternext_Paris,ALXP,DELTA_DRONE
EUROPLASMA,FR0000044810,ALEUP,Alternext_Paris,ALXP,INSIDE_SECURE
EUROPLASMA_BSA,FR0012160653,EURBS,Alternext_Paris,ALXP,CUSTOM_SOLUTIONS
EUROPLASMA_BSB,FR0012160661,EURBT,Alternext_Paris,ALXP,TOTAL_NV
EVOLIS,FR0004166197,ALTVO,Alternext_Paris,ALXP,SETTLEMENTS
FASHION_B_AIR,FR0004034593,ALFBA,Alternext_Paris,ALXP,GLOBAL_ECOPOWER
FILAE,FR0010221069,ALFIL,Alternext_Paris,ALXP,DEINOVE
FOCUS_HOME_INT,FR0012419307,ALFOC,Alternext_Paris,ALXP,ACANTHE_DEV.
FOUNTAINE_PAJOT,FR0010485268,ALFPC,Alternext_Paris,ALXP,INTLE_PLANT.HEVEAS
FREELANCE_BS_2018,FR0013229291,FREBS,Alternext_Paris,ALXP,GROUPE_OPEN
FREELANCE.COM,FR0004187367,ALFRE,Alternext_Paris,ALXP,DALENYS
GASCOGNE,FR0000124414,ALBI,Alternext_Paris,ALXP,ASCENCIO
GAUSSIN,FR0010342329,ALGAU,Alternext_Paris,ALXP,CIE_BOIS_SAUVAGE
GAUSSIN_BSA,FR0013186061,GAUBT,Alternext_Paris,ALXP,BIOPHYTIS
GAUSSIN_BSAR,FR0011462803,GAUBS,Alternext_Paris,ALXP,UNILEVER_OS
GENOWAY,FR0004053510,ALGEN,Alternext_Paris,ALXP,CARBIOS
GEVELOT,FR0000033888,ALGEV,Alternext_Paris,ALXP,SES_IMAGOTAG
GLOBAL_BIOENERGIES,FR0011052257,ALGBE,Alternext_Paris,ALXP,MICHELIN_NV
GLOBAL_ECOPOWER,FR0011289198,ALGEP,Alternext_Paris,ALXP,PHARNEXT
GLOBAL_INVESTMENT,FR0004060234,ALGIS,Alternext_Paris,ALXP,ROBECO
GOLD_BY_GOLD,FR0011208693,ALGLD,Alternext_Paris,ALXP,CURETIS
GPE_PAROT_(AUTO),FR0013204070,ALPAR,Alternext_Paris,ALXP,REALITES
GROUPE_GUILLIN,FR0012819381,ALGIL,Alternext_Paris,ALXP,ELECTRO_POWER
GROUPIMO,FR0010490961,ALIMO,Alternext_Paris,ALXP,INFOTEL
H2O_INNOVATION_INC,CA4433003064,ALHEO,Alternext_Paris,ALXP,OENEO
HARVEST,FR0010207795,ALHVS,Alternext_Paris,ALXP,HYBRIGENICS
HEURTEY_PETROCHEM,FR0010343186,ALHPC,Alternext_Paris,ALXP,TOUR_EIFFEL
HIOLLE_INDUSTRIES,FR0000077562,ALHIO,Alternext_Paris,ALXP,DECEUNINCK
HITECHPROS,FR0010396309,ALHIT,Alternext_Paris,ALXP,SMTPC
HOLOSFIND,FR0010446765,ALHOL,Alternext_Paris,ALXP,AREVA
HORIZONTALSOFTWARE,FR0013219367,ALHSW,Alternext_Paris,ALXP,PHARMAGEST_INTER.
HYBRIGENICS,FR0004153930,ALHYG,Alternext_Paris,ALXP,SDC_INV.
I.CERAM,FR0011511971,ALICR,Alternext_Paris,ALXP,MONTEPIO
I2S,FR0005854700,ALI2S,Alternext_Paris,ALXP,FLUXYS_BELGIUM_D
IDSUD,FR0000062184,ALIDS,Alternext_Paris,ALXP,AMOEBA
IMMERSION,FR0013060100,ALIMR,Alternext_Paris,ALXP,D.L.S.I.
INNOVEOX,FR0011066885,ALIOX,Alternext_Paris,ALXP,CRCAM_NORD_CCI
INTEGRAGEN,FR0010908723,ALINT,Alternext_Paris,ALXP,MGI_DIGITAL_GRAPHI
INTRASENSE,FR0011179886,ALINS,Alternext_Paris,ALXP,AUBAY
ISCOOL_ENTERTAIN.,FR0004060671,ALISC,Alternext_Paris,ALXP,ORCLASS.COM
IVALIS,FR0010082305,ALIVA,Alternext_Paris,ALXP,ROBERTET
KERLINK,FR0013156007,ALKLK,Alternext_Paris,ALXP,AUPLATA
KEYYO,FR0000185621,ALKEY,Alternext_Paris,ALXP,INTEGRAGEN
KINDY,FR0000052904,ALKDY,Alternext_Paris,ALXP,CRCAM_BRIE_PIC2CCI
LEADMEDIA_GROUP,FR0011053636,ALLMG,Alternext_Paris,ALXP,WOL._SHOPPING_CERT
LES_HOTELS_BAVEREZ,FR0007080254,ALLHB,Alternext_Paris,ALXP,KAS_BANK
LETS_GOWEX,ES0158252033,ALGOW,Alternext_Paris,ALXP,KEYRUS
LEXIBOOK_LINGUIST.,FR0000033599,ALLEX,Alternext_Paris,ALXP,TRANSGENE
LOGIC_INSTRUMENT,FR0000044943,ALLOG,Alternext_Paris,ALXP,ESI_GROUP
LUCIBEL,FR0011884378,ALUCI,Alternext_Paris,ALXP,BOURBON_CORP.
MADVERTISE,FR0010812230,ALMNG,Alternext_Paris,ALXP,UNIBEL
MAKHEIA_GROUP,FR0000072993,ALMAK,Alternext_Paris,ALXP,VALNEVA
MASTRAD,FR0004155687,ALMAS,Alternext_Paris,ALXP,LOTUS_BAKERIES
MDW,BE0974267966,ALMDW,Alternext_Paris,ALXP,TFF_GROUP
MECELEC,FR0000061244,ALMEC,Alternext_Paris,ALXP,CROSSJECT
MECELEC_BSA_DEC19,FR0012057149,MCBS2,Alternext_Paris,ALXP,COGRA
MEDIANTECHNOLOGIES,FR0011049824,ALMDT,Alternext_Paris,ALXP,CEGEDIM
MEDICREA_INTERNAT.,FR0004178572,ALMED,Alternext_Paris,ALXP,INTERPARFUMS
METHANOR,FR0011217710,ALMET,Alternext_Paris,ALXP,HERIGE
METHORIOS_CAPITAL,IT0004615396,ALMTH,Alternext_Paris,ALXP,EGIDE
MG_INTERNATIONAL,FR0010204453,ALMGI,Alternext_Paris,ALXP,SIOEN
MGI_DIGITAL_GRAPHI,FR0010353888,ALMDG,Alternext_Paris,ALXP,TIGENIX
MICROWAVE_VISION,FR0004058949,ALMIC,Alternext_Paris,ALXP,VISIOMED_GROUP
MILIBOO,FR0013053535,ALMLB,Alternext_Paris,ALXP,IBERSOL
MILLET_INNOVATION,FR0010304402,ALINN,Alternext_Paris,ALXP,PSB_INDUSTRIES
MOULINVEST,FR0011033083,ALMOU,Alternext_Paris,ALXP,BASTIDE_LE_CONFORT
NEOLIFE,FR0011636083,ALNLF,Alternext_Paris,ALXP,STEF
NEOVACS,FR0004032746,ALNEV,Alternext_Paris,ALXP,HUNTER_DOUGLAS
NETBOOSTER,FR0000079683,ALNBT,Alternext_Paris,ALXP,CRCAM_LOIRE_HTE_L.
NEXTEDIA,FR0004171346,ALNXT,Alternext_Paris,ALXP,VIDELIO
NOVACYT,FR0010397232,ALNOV,Alternext_Paris,ALXP,QUANTEL
NOXXON,NL0012044762,ALNOX,Alternext_Paris,ALXP,CRCAM_SUD_R.A.CCI
NSC_GROUPE,FR0000064529,ALNSC,Alternext_Paris,ALXP,MICROPOLE
NSE,FR0004065639,ALNSE,Alternext_Paris,ALXP,XILAM_ANIMATION
O2I,FR0010231860,ALODI,Alternext_Paris,ALXP,COLAS
O2I_BSAAR_2019,FR0011928407,ODIBS,Alternext_Paris,ALXP,FRANCAISE_ENERGIE
OBER,FR0010330613,ALOBR,Alternext_Paris,ALXP,PROLOGUE
OCEASOFT,FR0012407096,ALOCA,Alternext_Paris,ALXP,ROLINCO
ONCODESIGN,FR0011766229,ALONC,Alternext_Paris,ALXP,ARCHOS
OSMOZIS,FR0013231180,ALOSM,Alternext_Paris,ALXP,ATARI
OSPREYFRANK,GB00B2R1Q018,ALOSP,Alternext_Paris,ALXP,EUROPLASMA
PHARNEXT,FR0011191287,ALPHA,Alternext_Paris,ALXP,U10
PISCINES_DESJOYAUX,FR0000061608,ALPDX,Alternext_Paris,ALXP,ABEO
PLANET.FR,FR0010211037,ALPLA,Alternext_Paris,ALXP,QRF
PLANT_ADVANCED,FR0010785790,ALPAT,Alternext_Paris,ALXP,UMANIS
PLANT_ADVANCED_BS,FR0011844067,PATBS,Alternext_Paris,ALXP,VOYAGEURS_DU_MONDE
POUJOULAT,FR0000066441,ALPJT,Alternext_Paris,ALXP,ROSIER
POULAILLON,FR0013015583,ALPOU,Alternext_Paris,ALXP,DELTA_PLUS_GROUP
PRIMECITY,CY0104972217,ALPCI,Alternext_Paris,ALXP,CEGID_GROUP
PRISMAFLEX_INTL,FR0004044600,ALPRI,Alternext_Paris,ALXP,COFINA
PRODWARE,FR0010313486,ALPRO,Alternext_Paris,ALXP,CIC
QUANGENBS15SEP2018,FR0013134384,QGCBS,Alternext_Paris,ALXP,VEXIM
QUANTUM_GENOMICS,FR0011648971,ALQGC,Alternext_Paris,ALXP,TINC
REALITES,FR0011858190,ALREA,Alternext_Paris,ALXP,GENSIGHT_BIOLOGICS
REWORLD_MEDIA,FR0010820274,ALREW,Alternext_Paris,ALXP,KERLINK
ROCTOOL,FR0010523167,ALROC,Alternext_Paris,ALXP,NEDAP
ROUGIER_S.A.,FR0000037640,ALRGR,Alternext_Paris,ALXP,WALLIX
SAFWOOD,IT0004013725,ALWOO,Alternext_Paris,ALXP,SAVENCIA
SAPMER,FR0010776617,ALMER,Alternext_Paris,ALXP,FONCIERE_INEA
SENSORION,FR0012596468,ALSEN,Alternext_Paris,ALXP,LUCIBEL
SERMA_TECHNOLOGIES,FR0000073728,ALSER,Alternext_Paris,ALXP,QUESTFOR_GR-PRICAF
